,player,org,region,event,rounds,rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS,CS,KMAX,KILLS,DEATHS,ASSISTS,FK,FD
21,Boostio,['100T'],"['NA', 'INT']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'MASTERS SHANGHAI']",1176.0,0.91,185.5,0.8875000000000001,70.66666666666667,127.125,0.6525,0.235,0.1,0.12,25.333333333333332,16.333333333333332,22,748.0,855.0,278.0,108.0,139.0
22,Brave,['BBL'],['EMEA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",575.0,0.9233333333333333,186.16666666666666,0.89,68.66666666666667,122.96666666666665,0.65,0.30666666666666664,0.09333333333333334,0.09333333333333334,35.333333333333336,21.666666666666668,24,388.0,415.0,185.0,58.0,53.0
23,BuZz,['DRX'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS']",1148.0,1.03,238.425,1.07,72.25,152.9,0.805,0.205,0.17250000000000001,0.15250000000000002,20.5,19.0,33,936.0,850.0,191.0,197.0,186.0
24,C0M,['LEV'],"['NA', 'INT']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1416.0,1.0025,175.88,0.8699999999999999,73.0,118.74000000000001,0.5700000000000001,0.338,0.082,0.092,19.75,16.25,28,814.0,924.0,470.0,117.0,114.0
25,CB,['NOVA'],['CHINA'],"['KICKOFF', 'STAGE 1', 'CHINA']",691.0,,188.9,0.8799999999999999,,130.4,0.6366666666666667,0.33666666666666667,0.07,0.12,,,26,452.0,495.0,225.0,16.0,27.0
26,CHICHOO,['EDG'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA', 'MASTERS SHANGHAI', 'MASTERS MADRID']",1420.0,1.055,201.2166666666667,1.055,75.0,134.825,0.71,0.2916666666666667,0.075,0.0675,28.5,33.0,26,1022.0,947.0,368.0,40.0,42.0
27,Carpe,['T1'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'MASTERS SHANGHAI']",929.0,0.9333333333333332,185.3,0.915,76.0,122.30000000000001,0.65,0.34,0.08750000000000001,0.09,24.333333333333332,15.666666666666666,26,582.0,664.0,311.0,72.0,78.0
28,Chronicle,['FNC'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1337.0,1.1875,211.33999999999997,1.182,75.75,140.64,0.738,0.386,0.11000000000000001,0.066,24.75,27.0,26,963.0,846.0,523.0,127.0,90.0
29,Cloud,['GX'],['EMEA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",662.0,1.0133333333333334,206.4,1.0133333333333334,71.0,138.56666666666666,0.7233333333333333,0.32,0.07666666666666667,0.06999999999999999,25.333333333333332,12.333333333333334,26,462.0,472.0,206.0,49.0,46.0
30,Crws,['TLN'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS']",904.0,0.7825000000000001,146.75,0.74,66.0,101.375,0.5075000000000001,0.265,0.0325,0.1075,20.5,12.0,23,491.0,609.0,247.0,36.0,74.0
31,Cryocells,['100T'],"['NA', 'INT']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'MASTERS SHANGHAI']",1176.0,1.0933333333333335,223.075,1.17,72.66666666666667,144.325,0.815,0.22500000000000003,0.13,0.11,25.0,24.333333333333332,33,978.0,816.0,274.0,162.0,117.0
32,Demon1,['NRG'],['NA'],"['KICKOFF', 'STAGE 1']",417.0,1.0150000000000001,209.85000000000002,0.9950000000000001,71.0,142.6,0.73,0.175,0.18,0.17,34.5,9.5,24,301.0,309.0,76.0,74.0,70.0
33,Dep,['ZETA'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",795.0,1.0000000000000002,233.0,1.0666666666666667,69.33333333333333,150.73333333333332,0.8099999999999999,0.17666666666666667,0.19666666666666666,0.16666666666666666,27.333333333333332,13.0,29,640.0,605.0,147.0,152.0,132.0
34,Derke,['FNC'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1337.0,1.0425,228.24,1.142,68.5,148.51999999999998,0.8020000000000002,0.182,0.17200000000000001,0.15,23.25,21.5,29,1087.0,961.0,254.0,228.0,223.0
35,Derrek,['EG'],['NA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",632.0,1.03,200.5,1.0466666666666666,71.0,133.36666666666665,0.7200000000000001,0.26,0.07666666666666666,0.04,35.666666666666664,15.0,26,447.0,436.0,177.0,41.0,25.0
36,Deryeon,['BLD'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",652.0,0.9066666666666666,200.9,0.9066666666666666,70.0,131.20000000000002,0.6966666666666667,0.21333333333333335,0.15,0.14666666666666667,26.333333333333332,12.0,29,440.0,497.0,142.0,92.0,96.0
37,Destrian,['VIT'],['EMEA'],['KICKOFF'],238.0,0.87,158.7,0.77,68.0,111.9,0.54,0.32,0.06,0.09,21.0,10.0,19,128.0,166.0,76.0,14.0,21.0
38,Dingwei,['DRG'],['CHINA'],['KICKOFF'],151.0,,160.1,0.77,,,0.54,0.3,,,,,18,82.0,107.0,45.0,0.0,0.0
39,Egoist,['BLD'],['PACIFIC'],['KICKOFF'],122.0,1.05,208.4,1.07,75.0,132.2,0.75,0.23,0.08,0.06,26.0,24.0,27,91.0,85.0,28.0,10.0,7.0
40,Elite,['BBL'],['EMEA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",575.0,1.0466666666666666,207.20000000000002,1.1433333333333333,69.66666666666667,136.23333333333332,0.7466666666666667,0.19666666666666668,0.08666666666666667,0.07666666666666667,45.0,14.5,23,436.0,368.0,108.0,47.0,41.0
41,Enzo,['TL'],['EMEA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",683.0,0.91,168.63333333333335,0.85,67.33333333333333,114.10000000000001,0.5533333333333333,0.2933333333333334,0.05333333333333334,0.06666666666666667,19.0,9.5,23,381.0,442.0,209.0,37.0,48.0
42,Eren,['TYL'],['CHINA'],"['STAGE 1', 'CHINA']",464.0,,197.60000000000002,0.955,,132.4,0.7,0.215,0.06,0.1,,,23,324.0,341.0,100.0,13.0,21.0
43,Estrella,['RRQ'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",668.0,0.96,166.83333333333334,0.8833333333333334,73.0,109.43333333333334,0.58,0.38999999999999996,0.05000000000000001,0.07,29.333333333333332,8.0,23,385.0,431.0,279.0,36.0,46.0
44,Ethan,['NRG'],['NA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",632.0,1.05,208.1,1.0133333333333334,76.33333333333333,131.16666666666666,0.6999999999999998,0.4466666666666666,0.08333333333333333,0.08,21.333333333333332,17.0,27,440.0,435.0,280.0,51.0,50.0
45,Ezeir,['NOVA'],['CHINA'],['CHINA'],230.0,,184.0,0.93,,118.1,0.64,0.35,0.05,0.09,,,21,147.0,158.0,81.0,12.0,20.0
46,Famsii,['GX'],['EMEA'],['STAGE 2'],108.0,0.89,171.6,0.85,71.0,125.6,0.62,0.28,0.09,0.07,27.0,,24,67.0,79.0,30.0,10.0,8.0
47,FengF,['TE'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA']",1288.0,0.94,224.35,1.1325,65.0,135.15,0.78,0.18,0.15000000000000002,0.125,28.0,33.0,40,1034.0,910.0,269.0,80.0,70.0
48,FiNESSE,['NRG'],['NA'],['STAGE 2'],215.0,0.81,158.1,0.71,64.0,105.5,0.54,0.28,0.08,0.04,19.0,12.0,18,116.0,163.0,60.0,17.0,9.0
