,agents_played,assists,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,deaths,fd,first_deaths_per_round,first_kills_per_round,fk,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills,kills_per_round,kmax,org,player,rating,rounds,region,event
633,"['killjoy', 'viper', 'cypher']",123,0.19,219.1,145.4,9,436,73,0.11,0.12,79,29,72,1.14,496,0.77,28,FNC,Alfajer,1.06,646,EMEA,STAGE 1
634,"['gekko', 'viper', 'cypher']",75,0.23,218.7,140.9,7,226,28,0.08,0.11,37,30,74,1.17,265,0.80,28,VIT,Sayf,1.06,331,EMEA,STAGE 1
635,"['viper', 'sage', 'cypher']",99,0.23,197.6,131.2,17,283,47,0.11,0.10,42,26,70,1.08,306,0.70,23,FUT,yetujey,1.04,440,EMEA,STAGE 1
636,"['cypher', 'viper']",83,0.23,211.8,141.1,22,239,28,0.08,0.08,28,29,74,1.15,275,0.77,24,TL,nAts,1.04,355,EMEA,STAGE 1
637,"['jett', 'raze', 'yoru']",79,0.19,217.8,147.8,24,297,65,0.15,0.19,79,27,73,1.07,317,0.75,28,KC,marteen,1.04,420,EMEA,STAGE 1
638,"['jett', 'raze', 'yoru']",46,0.16,215.5,145.8,7,210,40,0.14,0.18,51,31,68,0.99,207,0.74,26,GX,purp0,1.03,281,EMEA,STAGE 1
639,"['kayo', 'neon', 'yoru']",112,0.22,227.6,148.2,16,386,94,0.18,0.18,94,32,72,1.04,400,0.78,26,TH,MiniBoo,1.03,511,EMEA,STAGE 1
640,"['omen', 'viper', 'brimstone']",76,0.32,192.2,129.1,15,163,22,0.09,0.10,23,33,78,0.97,158,0.66,22,KOI,grubinho,1.03,239,EMEA,STAGE 1
641,"['omen', 'viper', 'brimstone']",98,0.37,204.6,133.1,20,190,20,0.07,0.09,24,31,71,0.98,187,0.70,24,BBL,Brave,1.02,268,EMEA,STAGE 1
642,"['gekko', 'sova', 'skye']",201,0.39,191.1,130.1,20,360,38,0.07,0.06,31,36,75,0.94,337,0.66,25,TH,RieNs,1.02,511,EMEA,STAGE 1
