,agents_played,assists,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,deaths,fd,first_deaths_per_round,first_kills_per_round,fk,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills,kills_per_round,kmax,org,player,rating,rounds,region,event
835,"['jett', 'neon']",42,0.23,230.0,153.2,20,149,40,0.22,0.21,38,26,67,0.96,143,0.79,22,GE,Polvi,0.95,180,PACIFIC,STAGE 2
836,"['jett', 'gekko', 'breach']",56,0.20,171.9,111.1,,186,19,0.07,0.05,15,36,69,0.91,170,0.61,19,TLN,Surf,0.95,280,PACIFIC,STAGE 2
837,"['harbor', 'kayo', 'breach']",109,0.44,171.6,110.0,16,180,16,0.06,0.04,9,27,74,0.80,144,0.58,18,DFM,neth,0.94,250,PACIFIC,STAGE 2
838,"['killjoy', 'cypher']",42,0.18,188.0,126.0,21,171,12,0.05,0.05,12,27,66,0.96,164,0.69,22,BLD,Retla,0.92,236,PACIFIC,STAGE 2
839,"['kayo', 'deadlock', 'viper']",80,0.34,167.5,106.3,13,163,24,0.10,0.08,20,34,69,0.85,139,0.59,20,BLD,Zest,0.91,236,PACIFIC,STAGE 2
840,"['kayo', 'gekko', 'sova']",159,0.27,161.6,109.5,24,407,47,0.08,0.06,34,26,71,0.79,322,0.55,27,DRX,BeYN,0.91,590,PACIFIC,STAGE 2
841,"['jett', 'raze', 'neon']",35,0.15,210.1,136.3,15,185,53,0.22,0.20,47,28,66,0.94,174,0.74,24,BLD,Deryeon,0.90,236,PACIFIC,STAGE 2
842,"['killjoy', 'cypher']",36,0.14,180.4,124.6,19,177,27,0.11,0.08,21,26,68,0.92,162,0.65,22,DFM,Medusa,0.89,250,PACIFIC,STAGE 2
843,"['omen', 'raze', 'jett']",55,0.19,219.4,145.8,9,224,47,0.17,0.22,62,27,69,0.94,211,0.74,24,ZETA,Dep,0.89,284,PACIFIC,STAGE 2
844,"['kayo', 'raze', 'neon']",93,0.23,193.5,126.9,21,308,65,0.16,0.17,68,25,70,0.89,275,0.69,26,TLN,Governor,0.89,398,PACIFIC,STAGE 2
845,"['killjoy', 'cypher', 'kayo']",209,0.35,165.0,110.7,12,416,56,0.09,0.07,42,32,70,0.82,340,0.58,21,DRX,Foxy9,0.89,590,PACIFIC,STAGE 2
846,"['gekko', 'breach', 'sova']",110,0.28,168.9,117.9,11,270,31,0.08,0.04,16,21,68,0.83,224,0.56,21,TLN,Crws,0.87,398,PACIFIC,STAGE 2
847,"['killjoy', 'cypher', 'jett']",76,0.19,183.1,126.5,9,297,44,0.11,0.11,44,35,65,0.88,260,0.65,23,TLN,ban,0.87,398,PACIFIC,STAGE 2
848,"['kayo', 'fade']",94,0.52,177.0,116.7,19,143,18,0.10,0.12,22,34,72,0.75,107,0.59,20,GE,Russ,0.87,180,PACIFIC,STAGE 2
849,"['gekko', 'sova', 'cypher']",67,0.24,176.2,121.2,21,202,28,0.10,0.09,25,28,69,0.85,172,0.61,20,ZETA,hiroronn,0.86,284,PACIFIC,STAGE 2
850,"['omen', 'viper', 'brimstone']",108,0.40,160.5,106.9,24,188,27,0.10,0.04,12,22,73,0.79,148,0.55,20,T1,xccurate,0.86,268,PACIFIC,STAGE 2
851,"['kayo', 'breach', 'viper']",148,0.52,153.5,101.7,4,211,27,0.10,0.05,14,25,71,0.67,142,0.50,20,ZETA,yuran,0.84,284,PACIFIC,STAGE 2
852,"['sova', 'fade', 'deadlock']",77,0.33,166.1,116.2,10,177,28,0.12,0.07,16,21,68,0.71,125,0.53,19,BLD,crazyguy,0.84,236,PACIFIC,STAGE 2
853,"['sova', 'gekko', 'deadlock']",53,0.21,160.3,105.4,8,189,25,0.10,0.05,12,23,73,0.74,140,0.56,20,DFM,Anthem,0.83,250,PACIFIC,STAGE 2
854,"['omen', 'sage']",59,0.33,151.9,92.4,17,138,13,0.07,0.07,13,30,69,0.74,102,0.57,18,GE,Lightningfast,0.80,180,PACIFIC,STAGE 2
