,agents_played,assists,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,deaths,fd,first_deaths_per_round,first_kills_per_round,fk,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills,kills_per_round,kmax,org,player,rating,rounds,region,event
70,"['sova', 'viper']",102,0.27,187.7,133.8,18,244,23,0.06,0.08,29,35,73,1.08,263,0.69,21,C9,runi,1.07,383,NA,STAGE 1
71,"['cypher', 'viper']",56,0.21,205.2,140.3,12,164,17,0.07,0.06,16,28,72,1.16,190,0.73,25,LOUD,Less,1.07,261,NA,STAGE 1
72,"['killjoy', 'viper', 'brimstone']",75,0.26,184.0,128.8,18,183,25,0.09,0.07,20,21,72,0.99,182,0.63,23,SEN,Zellsis,1.05,289,NA,STAGE 1
73,"['killjoy', 'cypher', 'viper']",86,0.20,189.4,130.5,13,262,24,0.06,0.06,27,26,73,1.09,286,0.68,22,KRÜ,Shyy,1.04,420,NA,STAGE 1
74,"['harbor', 'breach', 'kayo']",216,0.40,209.5,134.2,15,389,56,0.10,0.07,37,29,74,1.02,395,0.73,26,LEV,Mazino,1.03,544,NA,STAGE 1
75,"['sage', 'skye', 'kayo']",183,0.48,190.3,124.1,21,268,27,0.07,0.07,28,27,77,0.93,248,0.65,26,C9,Xeppaa,1.02,383,NA,STAGE 1
76,"['omen', 'viper']",119,0.28,174.0,119.9,15,263,34,0.08,0.08,33,32,71,1.00,263,0.63,22,KRÜ,Melser,1.02,420,NA,STAGE 1
77,"['viper', 'killjoy', 'breach']",104,0.37,199.7,132.5,12,195,18,0.06,0.05,15,32,69,0.98,192,0.69,24,EG,NaturE,1.01,280,NA,STAGE 1
78,"['yoru', 'kayo', 'omen']",112,0.43,191.1,122.0,17,175,25,0.10,0.07,17,21,72,0.96,168,0.65,19,NRG,Ethan,1.01,260,NA,STAGE 1
79,"['sova', 'gekko', 'skye']",69,0.27,182.3,118.8,21,171,16,0.06,0.04,11,35,72,1.03,176,0.68,24,NRG,crashies,1.01,260,NA,STAGE 1
80,"['killjoy', 'cypher']",71,0.19,176.5,120.3,14,233,23,0.06,0.07,25,24,72,1.04,243,0.63,21,C9,moose,1.00,383,NA,STAGE 1
81,"['viper', 'kayo', 'breach']",262,0.45,183.6,118.9,10,401,51,0.09,0.05,32,27,74,0.89,356,0.61,20,G2,JonahP,1.00,584,NA,STAGE 1
82,"['viper', 'omen', 'brimstone']",92,0.35,166.3,110.9,13,172,17,0.07,0.06,15,33,70,0.91,157,0.60,17,LOUD,tuyz,0.98,261,NA,STAGE 1
83,"['sova', 'breach', 'kayo']",84,0.32,201.8,129.9,18,189,20,0.08,0.10,26,27,74,0.95,179,0.69,21,LOUD,cauanzin,0.97,261,NA,STAGE 1
84,"['cypher', 'raze', 'brimstone']",44,0.17,212.9,139.4,,193,24,0.09,0.12,31,27,67,1.01,195,0.75,30,NRG,Victor,0.96,260,NA,STAGE 1
85,"['killjoy', 'cypher', 'sage']",95,0.17,184.8,122.4,12,363,63,0.12,0.11,59,35,71,0.97,352,0.65,25,LEV,tex,0.96,544,NA,STAGE 1
86,"['jett', 'raze', 'brimstone']",52,0.20,204.4,139.6,12,199,44,0.17,0.16,42,36,71,0.91,182,0.70,21,NRG,Demon1,0.95,260,NA,STAGE 1
87,"['fade', 'sova', 'skye']",76,0.27,183.2,124.6,20,194,12,0.04,0.05,13,33,68,0.95,184,0.66,26,EG,Derrek,0.95,280,NA,STAGE 1
88,"['viper', 'omen', 'cypher']",63,0.24,189.6,125.3,27,182,28,0.11,0.08,22,28,67,0.93,170,0.65,21,NRG,Marved,0.95,260,NA,STAGE 1
89,"['skye', 'kayo', 'sova']",62,0.28,191.6,125.7,11,163,6,0.03,0.03,6,26,67,0.94,153,0.68,23,FUR,nzr,0.94,224,NA,STAGE 1
90,"['gekko', 'skye', 'fade']",86,0.30,161.9,111.0,12,187,21,0.07,0.06,18,32,71,0.90,168,0.58,22,SEN,Sacy,0.94,289,NA,STAGE 1
91,"['sova', 'viper', 'fade']",158,0.29,160.8,109.2,15,368,40,0.07,0.09,49,22,71,0.80,293,0.54,22,LEV,C0M,0.92,544,NA,STAGE 1
92,"['raze', 'jett']",41,0.15,217.4,146.2,14,218,40,0.14,0.16,46,20,63,0.94,205,0.73,29,EG,jawgemo,0.92,280,NA,STAGE 1
93,"['raze', 'gekko', 'yoru']",110,0.19,187.0,125.3,15,434,90,0.15,0.14,81,26,68,0.89,385,0.66,26,G2,icy,0.91,584,NA,STAGE 1
94,"['viper', 'gekko', 'sova']",121,0.29,177.7,116.7,15,302,34,0.08,0.11,48,25,73,0.82,249,0.59,18,KRÜ,Klaus,0.90,420,NA,STAGE 1
95,"['viper', 'omen', 'brimstone']",144,0.38,163.9,107.3,15,275,39,0.10,0.08,30,22,73,0.79,217,0.57,20,C9,vanity,0.90,383,NA,STAGE 1
96,"['killjoy', 'cypher', 'viper']",42,0.21,186.1,126.4,14,155,27,0.14,0.08,16,26,65,0.84,130,0.65,25,MIBR,frz,0.89,200,NA,STAGE 1
97,"['kayo', 'sova', 'breach']",88,0.34,193.2,130.9,13,194,34,0.13,0.09,23,26,67,0.84,163,0.62,23,LOUD,saadhak,0.89,261,NA,STAGE 1
98,"['omen', 'viper']",82,0.29,184.2,122.5,7,208,32,0.11,0.11,31,37,69,0.87,180,0.64,23,EG,supamen,0.87,280,NA,STAGE 1
99,"['killjoy', 'gekko', 'cypher']",94,0.21,169.5,110.7,26,318,56,0.12,0.09,39,24,70,0.87,278,0.61,22,100T,Boostio,0.87,457,NA,STAGE 1
100,"['cypher', 'harbor', 'astra']",58,0.21,174.5,119.0,17,201,42,0.15,0.11,31,37,61,0.84,168,0.60,22,EG,Apoth,0.84,280,NA,STAGE 1
101,"['jett', 'raze', 'sage']",37,0.19,204.2,137.0,11,170,35,0.18,0.14,27,26,62,0.82,139,0.70,20,MIBR,artzin,0.84,200,NA,STAGE 1
102,"['omen', 'killjoy', 'cypher']",56,0.25,164.4,112.4,21,164,20,0.09,0.04,9,29,69,0.77,127,0.57,17,FUR,Khalil,0.82,224,NA,STAGE 1
103,"['sova', 'skye', 'raze']",40,0.20,196.2,135.7,19,164,22,0.11,0.14,28,32,66,0.83,136,0.68,19,MIBR,jzz,0.82,200,NA,STAGE 1
104,"['jett', 'phoenix', 'raze']",28,0.11,172.8,111.9,6,198,53,0.20,0.15,40,23,61,0.79,156,0.60,19,LOUD,Quick,0.80,261,NA,STAGE 1
105,"['harbor', 'omen', 'brimstone']",56,0.28,156.2,105.6,19,157,8,0.04,0.06,12,27,64,0.73,114,0.57,21,MIBR,RgLMeister,0.77,200,NA,STAGE 1
106,"['raze', 'omen', 'jett']",46,0.21,191.5,125.1,,191,39,0.17,0.10,22,20,63,0.77,148,0.66,23,FUR,mwzera,0.75,224,NA,STAGE 1
107,"['viper', 'kayo']",55,0.25,154.4,102.2,13,172,29,0.13,0.07,16,27,64,0.69,118,0.53,14,FUR,kon4n,0.72,224,NA,STAGE 1
108,"['killjoy', 'gekko', 'kayo']",37,0.17,178.3,124.4,23,188,49,0.22,0.13,28,39,59,0.72,136,0.61,20,FUR,havoc,0.71,224,NA,STAGE 1
109,"['viper', 'kayo', 'skye']",70,0.35,127.6,83.9,10,154,18,0.09,0.04,7,26,61,0.55,84,0.42,12,MIBR,mazin,0.66,200,NA,STAGE 1
110,"['jett', 'raze', 'neon']",95,0.20,269.0,169.8,13,297,55,0.11,0.22,105,27,77,1.52,451,0.94,27,LEV,aspas,1.35,479,NA,STAGE 2
111,"['omen', 'viper']",190,0.40,209.8,134.0,17,276,33,0.07,0.10,49,28,81,1.31,362,0.76,23,LEV,kiNgg,1.20,479,NA,STAGE 2
112,"['kayo', 'harbor', 'brimstone']",217,0.45,228.6,150.9,6,322,33,0.07,0.09,41,28,79,1.23,395,0.82,34,LEV,Mazino,1.16,479,NA,STAGE 2
113,"['raze', 'jett']",55,0.25,273.7,178.4,9,169,39,0.18,0.24,53,27,71,1.15,195,0.90,28,SEN,zekken,1.13,217,NA,STAGE 2
114,"['sova', 'fade']",143,0.35,200.5,135.7,16,250,10,0.02,0.05,19,31,77,1.17,292,0.71,26,100T,eeiu,1.13,411,NA,STAGE 2
115,"['clove', 'omen', 'brimstone']",97,0.45,224.7,143.6,19,147,16,0.07,0.09,20,27,78,1.13,166,0.77,24,NRG,s0m,1.12,215,NA,STAGE 2
116,"['breach', 'kayo', 'yoru']",92,0.43,222.5,136.2,11,152,13,0.06,0.12,25,22,79,1.08,164,0.76,25,NRG,Ethan,1.10,215,NA,STAGE 2
117,"['omen', 'gekko']",80,0.37,204.2,132.8,7,144,23,0.11,0.09,20,26,74,1.08,155,0.71,23,SEN,TenZ,1.08,217,NA,STAGE 2
118,"['kayo', 'viper', 'breach']",153,0.39,205.7,129.3,23,266,30,0.08,0.09,36,24,71,1.07,285,0.73,27,G2,JonahP,1.08,388,NA,STAGE 2
119,"['killjoy', 'gekko', 'cypher']",101,0.21,204.6,135.7,16,307,46,0.10,0.09,45,32,74,1.17,359,0.75,23,LEV,tex,1.06,479,NA,STAGE 2
120,"['viper', 'omen', 'brimstone']",74,0.31,206.7,138.1,14,160,15,0.06,0.07,18,32,75,1.16,186,0.77,31,FUR,Khalil,1.06,241,NA,STAGE 2
121,"['sova', 'fade']",171,0.36,180.0,125.1,16,286,34,0.07,0.08,38,20,79,1.04,298,0.62,28,LEV,C0M,1.06,479,NA,STAGE 2
122,"['fade', 'sova', 'gekko']",82,0.34,199.3,135.3,7,166,8,0.03,0.06,15,37,76,1.08,179,0.74,23,EG,Derrek,1.06,242,NA,STAGE 2
123,"['omen', 'harbor', 'brimstone']",150,0.39,202.4,123.0,24,270,34,0.09,0.10,39,22,79,1.01,273,0.70,23,G2,valyn,1.05,388,NA,STAGE 2
124,"['cypher', 'breach', 'viper']",79,0.36,179.8,114.3,15,127,13,0.06,0.02,5,21,75,1.10,140,0.65,21,SEN,Zellsis,1.04,217,NA,STAGE 2
125,"['jett', 'brimstone', 'astra']",83,0.20,223.8,138.7,21,298,48,0.12,0.15,62,26,71,1.13,336,0.82,27,100T,Cryocells,1.04,411,NA,STAGE 2
126,"['omen', 'clove']",65,0.27,214.6,136.3,21,177,37,0.15,0.09,22,45,73,1.08,192,0.79,23,EG,supamen,1.04,242,NA,STAGE 2
